hromada_code,hromada_name,oblast_name,raion_name,type,lat_center,lon_center,n_settlements,square,total_popultaion_2022,urban_pct,mountain_hromada,near_seas,distance_to_russia_belarus,distance_to_eu,sum_osbb_2020,train_station,occipied_before_2022,war_zone_10_10_2022,distance_to_frontline_km,currently_occupied,frontline_as_of_date,oblast_attack_events_last8wk,oblast_attack_events_since_2025,attacks_as_of_week,documented_powerplant_damage_score,documented_powerplant_damage_basis,documented_powerplant_facilities,oblast_documented_facilities,frontline_occupation_flag,outage_strike_component_norm,outage_risk_proxy
UA05040110000042036,Кунківська,Вінницька,Гайсинський,сільська,48.820564,29.268541,11,175.4,4064,0,NA,NA,284.36782953629,180.433236049719,NA,0,0,0,300.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040130000025322,Ладижинська,Вінницька,Гайсинський,міська,48.6810505,29.2567642,6,123.8,24594,0.913190208994064,NA,NA,299.892310222564,172.476987792374,NA,1,0,0,288.3,False,2026-09-09,5,28,2026-08-29,2,hosts_facility,Ladyzhynska TPP,Ladyzhynska TPP,0,0.001,0.5002
UA05040150000077146,Ободівська,Вінницька,Гайсинський,сільська,48.38597215,29.2002169047852,10,326.7,9636,0,NA,NA,332.784898963114,157.065596092209,NA,0,0,0,265.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040170000093514,Ольгопільська,Вінницька,Гайсинський,сільська,48.184544,29.486103,5,234.7,6094,0,NA,NA,350.429489658805,163.786060628727,NA,0,0,0,234.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040190000039450,Райгородська,Вінницька,Гайсинський,сільська,48.875095,29.082228,20,292.4,7035,0.306325515280739,NA,NA,278.817034469601,171.818390524568,NA,1,0,0,313.2,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040210000068217,Соболівська,Вінницька,Гайсинський,сільська,48.6148597,29.4832744,12,292.8,7734,0,NA,NA,303.657180151538,184.866153574248,NA,0,0,0,272.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040230000017028,Теплицька,Вінницька,Гайсинський,селищна,48.6636,29.74686,31,460,16893,0.359675605280294,NA,NA,294.497611155113,204.899374710383,NA,1,0,0,266.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040250000027965,Тростянецька,Вінницька,Гайсинський,селищна,48.51227,29.2226589,26,530.4,23487,0.308979435432367,NA,NA,318.704933720123,162.905851762863,3,0,0,0,275.1,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040270000051651,Чечельницька,Вінницька,Гайсинський,селищна,48.2126987,29.3598689,17,524.8,13228,0.361732688237073,NA,NA,349.28357272551,157.234271165644,NA,1,0,0,243.3,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060010000053179,Барська,Вінницька,Жмеринський,міська,49.077621,27.6813781,70,766.4,39667,0.386643809715885,NA,NA,266.529919928747,111.72330654807,26,1,0,0,398.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060030000026125,Джуринська,Вінницька,Жмеринський,сільська,48.681271,28.292053,16,337.1,12609,0,NA,NA,305.703342508825,110.968323359512,1,0,0,0,335.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060050000058111,Жмеринська,Вінницька,Жмеринський,міська,49.0354593,28.1147317,34,531.7,48271,0.790039568270804,NA,NA,268.409376626832,127.008580422195,39,1,0,0,372.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060070000012952,Копайгородська,Вінницька,Жмеринський,селищна,48.85654,27.7985,21,307.1,7825,0.154121405750799,NA,NA,291.069375535981,96.7599804214902,NA,1,0,0,375.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060090000058521,Мурафська,Вінницька,Жмеринський,сільська,48.768875,28.215824,8,191.6,11380,0,NA,NA,296.669995582277,112.177007269318,1,0,0,0,346.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060110000027268,Северинівська,Вінницька,Жмеринський,сільська,49.047089,27.93755,19,223.1,7708,0,NA,NA,269.560133348276,119.565364249199,NA,0,0,0,382.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060130000030729,Станіславчицька,Вінницька,Жмеринський,сільська,48.97121,28.10989,16,301,7436,0,NA,NA,275.515263086672,121.64449651131,NA,0,0,0,367.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05060150000094411,Шаргородська,Вінницька,Жмеринський,міська,48.7498267,28.08317,32,482.1,24017,0.290710746554524,NA,NA,300.131059551022,103.381745955045,9,1,0,0,352.3,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080010000038400,Бабчинецька,Вінницька,Могилів-Подільський,сільська,48.417961,28.160311,13,207.5,5237,0,NA,NA,335.89503992989,87.5374237409004,NA,0,0,0,324.3,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080030000089348,Вендичанська,Вінницька,Могилів-Подільський,селищна,48.6095706,27.7881091,25,436.4,13557,0.269381131518773,NA,NA,318.524374742478,76.8491204043235,NA,1,0,0,359.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080050000023603,Могилів-Подільська,Вінницька,Могилів-Подільський,міська,48.442544,27.7991124,26,373.8,42154,0.709897044171372,NA,NA,337.10232291468,66.1131839033863,67,1,0,0,347.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080070000010150,Мурованокуриловецька,Вінницька,Могилів-Подільський,селищна,48.7130055,27.5355762,50,738.8,20403,0.276037837572906,NA,NA,307.429547574188,72.1951601064422,NA,1,0,0,380.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080090000089922,Чернівецька,Вінницька,Могилів-Подільський,селищна,48.5406973,28.1221153,30,426,15196,0.163398262700711,NA,NA,322.72433066131,92.1673403084762,NA,1,0,0,335.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080110000056824,Ямпільська,Вінницька,Могилів-Подільський,міська,48.2400683,28.2779272,38,787.9,36670,0.291218980092719,NA,NA,354.626740776874,87.0618179132837,6,0,0,0,305.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05080130000024964,Яришівська,Вінницька,Могилів-Подільський,сільська,48.512192,27.63199,13,250.6,6611,0,NA,NA,329.470838917448,61.0622428172191,NA,1,0,0,362.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100010000023453,Брацлавська,Вінницька,Тульчинський,селищна,48.8268749,28.9379724,19,260.4,9439,0.516156372497087,NA,NA,284.983541142922,159.982520141016,NA,0,0,0,315.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100030000051497,Вапнярська,Вінницька,Тульчинський,селищна,48.5312383,28.7468189,6,112.2,9304,0.770098882201204,NA,NA,319.209431847827,131.471704330143,1,1,0,0,300.2,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100050000038768,Городківська,Вінницька,Тульчинський,сільська,48.380028,28.67379,25,463.5,11474,0,NA,NA,336.581890656754,119.834805813302,1,0,0,0,292.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100070000035159,Крижопільська,Вінницька,Тульчинський,селищна,48.38568,28.86941,19,421.9,19658,0.431325668938854,NA,NA,334.299180401141,133.671440344952,10,1,0,0,282.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100090000029847,Піщанська,Вінницька,Тульчинський,селищна,48.2077558,28.8864581,14,335.9,13467,0.462389544813247,NA,NA,353.88809520567,128.263289585085,NA,1,0,0,268.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100110000070795,Студенянська,Вінницька,Тульчинський,сільська,48.1457286,28.8527159,15,259.4,5778,0,NA,NA,360.9799512429,121.994519730474,NA,0,0,0,265.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100130000061386,Томашпільська,Вінницька,Тульчинський,селищна,48.5453497,28.5114332,28,666.6,21494,0.245463850376849,NA,NA,319.508962980584,117.005353952614,0,0,0,0,313.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100150000050790,Тульчинська,Вінницька,Тульчинський,міська,48.6730485,28.8569476,36,860.4,43012,0.448107504882358,NA,NA,302.601776287195,146.097627036261,15,1,0,0,306.2,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05100170000071290,Шпиківська,Вінницька,Тульчинський,селищна,48.7860654,28.5647525,27,478.9,15803,0.184585205340758,NA,NA,292.583823207053,134.092203964815,NA,0,0,0,329.9,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120010000076685,Глуховецька,Вінницька,Хмільницький,селищна,49.77356,28.72891,17,262.9,10994,0.46652719665272,NA,NA,182.479402756076,218.493073034451,0,1,0,0,410.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120030000061384,Жданівська,Вінницька,Хмільницький,сільська,49.6227642,27.892957,15,167.5,5360,0,NA,NA,206.07253400344,171.522889400938,NA,0,0,0,432.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120050000063063,Іванівська,Вінницька,Хмільницький,сільська,49.4852718,28.3424484,14,311.6,13164,0,NA,NA,216.486550594682,176.151913481631,0,1,0,0,399.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120070000075759,Калинівська,Вінницька,Хмільницький,міська,49.4583688,28.5262638,49,844.1,44542,0.415158726595124,NA,NA,218.110521659023,182.017380049313,12,1,0,0,389.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120090000060589,Козятинська,Вінницька,Хмільницький,міська,49.7195867,28.8354279,16,234.5,32347,0.71743902062015,NA,NA,187.602482143771,218.590497979655,83,1,0,0,401.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120110000018679,Махнівська,Вінницька,Хмільницький,сільська,49.7207433,28.6709477,20,311.4,7785,0,NA,NA,188.433434626789,211.297913788371,NA,0,0,0,407.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120130000014261,Самгородоцька,Вінницька,Хмільницький,сільська,49.5337018,28.8450733,20,323.1,8283,0,NA,NA,207.84924811152,203.65993930569,NA,0,0,0,383.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120150000069474,Уланівська,Вінницька,Хмільницький,сільська,49.6939529,28.1323125,36,611.1,15263,0,NA,NA,196.28107656814,186.947680396343,NA,0,0,0,427.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05120170000013778,Хмільницька,Вінницька,Хмільницький,міська,49.556175,27.9491205,42,635.8,42994,0.626040842908313,NA,NA,213.68247696311,167.021362336499,1,1,0,0,423.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA07020010000096841,Володимир-Волинська,Волинська,Володимир-Волинський,міська,50.8474669,24.319319,9,104.2,41973,0.903199675982179,NA,NA,84.5104022714822,12.3560300356596,39,1,0,0,709.1,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020030000052032,Затурцівська,Волинська,Володимир-Волинський,сільська,50.7799387,24.8430189,26,366.3,8138,0,NA,NA,106.759825439171,49.9013835862693,NA,0,0,0,676.1,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020050000082369,Зимнівська,Волинська,Володимир-Волинський,сільська,50.801533,24.337662,30,309.1,8396,0,NA,NA,89.7770507905379,15.0364602287184,NA,0,0,0,704.9,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020070000082628,Іваничівська,Волинська,Володимир-Волинський,селищна,50.6407709,24.3619629,9,99.2,9234,0.677929391379684,NA,NA,106.954265046449,18.6050761547761,36,1,0,0,692.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020090000019505,Литовезька,Волинська,Володимир-Волинський,сільська,50.640789,24.18297,6,124,4012,0,NA,NA,101.932824845117,5.99037336675783,NA,0,0,0,702.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020110000037373,Локачинська,Волинська,Володимир-Волинський,селищна,50.738946,24.6482949,28,344.4,13231,0.279495125085028,NA,NA,103.990023724231,37.8891621938894,NA,0,0,0,683.6,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020130000036300,Нововолинська,Волинська,Володимир-Волинський,міська,50.7224829,24.1648399,8,75.2,57394,0.946910826915706,NA,NA,92.9901519527634,6.37848228501929,200,0,0,0,709.0,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020150000092012,Оваднівська,Волинська,Володимир-Волинський,сільська,50.926411,24.38899,21,355.1,5623,0,NA,NA,77.6488384925348,18.2121500367879,NA,0,0,0,710.9,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020170000049971,Павлівська,Волинська,Володимир-Волинський,сільська,50.6282366,24.4638426,20,254.8,8561,0,NA,NA,110.756610083328,25.8096680377519,NA,0,0,0,685.9,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020190000043658,Поромівська,Волинська,Володимир-Волинський,сільська,50.751942,24.082321,18,108.6,5563,0,NA,NA,87.9118866808658,3.5547335957968,NA,0,0,0,715.6,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07020210000033081,Устилузька,Волинська,Володимир-Волинський,міська,50.8622192,24.1505139,26,415.6,7106,0.289895862651281,NA,NA,78.3097285582823,0.409841949997808,NA,0,0,0,719.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07040010000033507,Камінь-Каширська,Волинська,Камінь-Каширський,міська,51.6271153,24.961357,55,1421.9,53906,0.231458464734909,NA,NA,29.4664756409738,90.0703513609345,1,0,0,0,735.9,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07040030000028082,Любешівська,Волинська,Камінь-Каширський,селищна,51.7632795,25.5048264,41,1239.1,30445,0.187288553128593,NA,NA,17.5340045367537,127.215453632712,1,1,0,0,722.6,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07040050000080830,Маневицька,Волинська,Камінь-Каширський,селищна,51.2908106,25.537878,36,1097.2,27781,0.383607501529823,NA,NA,70.0370177142403,107.961439739355,10,1,0,0,681.3,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07040070000058434,Прилісненська,Волинська,Камінь-Каширський,сільська,51.376015,25.523325,11,526.7,9110,0,NA,NA,60.5156168909286,111.443600148224,NA,0,0,0,689.0,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07040090000043197,Сошичненська,Волинська,Камінь-Каширський,сільська,51.469231,24.88472,12,394.8,9140,0,NA,NA,46.7301465809678,78.9897771647371,NA,1,0,0,726.8,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060010000090019,Велимченська,Волинська,Ковельський,сільська,51.58012,24.74224,4,110.9,3488,0,NA,NA,33.4667732489626,74.1235852945759,NA,0,0,0,742.5,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060030000041840,Велицька,Волинська,Ковельський,сільська,51.120972,25.2028513,12,211.5,3873,0,NA,NA,87.6836836776822,79.1056463614229,NA,0,0,0,683.7,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060050000091514,Вишнівська,Волинська,Ковельський,сільська,51.197605,24.029932,21,498.3,8287,0,NA,NA,41.7557943837069,12.3735982776152,NA,0,0,0,749.6,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060070000063773,Голобська,Волинська,Ковельський,селищна,51.0859784,25.015465,23,300.8,8326,0.464929137641124,NA,NA,87.1579020828831,65.4923141490882,1,1,0,0,690.3,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060090000026043,Головненська,Волинська,Ковельський,селищна,51.336538,24.0785257,14,317.2,8553,0.342102186367357,NA,NA,27.6719079406673,24.9924965602962,2,0,0,0,757.1,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060110000041168,Дубечненська,Волинська,Ковельський,сільська,51.5489753,24.374079,10,310.7,9688,0,NA,NA,19.8281567179169,48.6493303444574,NA,0,0,0,758.1,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060130000030797,Дубівська,Волинська,Ковельський,сільська,51.265587,24.685938,10,204.7,5062,0,NA,NA,57.7519922034211,58.0220519550283,1,0,0,0,720.7,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060150000038564,Заболоттівська,Волинська,Ковельський,селищна,51.6314645,24.2552388,4,253.3,9115,0.48085573230938,NA,NA,7.85791543296404,43.6997314240668,1,0,0,0,770.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060170000059479,Забродівська,Волинська,Ковельський,сільська,51.668423,24.601269,18,333.8,9794,0,NA,NA,21.4700104874451,67.5666020355404,NA,0,0,0,756.3,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060190000036342,Ковельська,Волинська,Ковельський,міська,51.2120538,24.708894,15,311.1,72820,0.927973084317495,NA,NA,63.0714447503057,54.8012339196366,57,1,0,0,715.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060210000030014,Колодяжненська,Волинська,Ковельський,сільська,51.181622,24.798964,19,464.4,8057,0,NA,NA,69.8945328705256,57.39383399305,NA,0,0,0,708.5,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060230000029166,Луківська,Волинська,Ковельський,селищна,51.229557,24.3449012,14,161.2,5114,0.586233867813844,NA,NA,45.8615516812858,34.2981686063421,NA,0,0,0,735.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060250000039902,Люблинецька,Волинська,Ковельський,селищна,51.18633,24.61933,9,115,6247,0.708980310549064,NA,NA,61.1440881758408,48.3721198064724,4,1,0,0,718.0,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060270000021892,Любомльська,Волинська,Ковельський,міська,51.2234546,24.0315783,15,296.8,16027,0.64235352842079,NA,NA,39.5493021499699,13.9308213595621,3,0,0,0,751.3,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060290000054842,Поворська,Волинська,Ковельський,сільська,51.261631,25.129389,11,299.3,4308,0,NA,NA,71.3355971086337,81.4181804944155,NA,0,0,0,698.4,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
UA07060310000037369,Ратнівська,Волинська,Ковельський,селищна,51.67145,24.52458,24,481.2,21343,0.4487185494073,NA,NA,16.6662160102884,62.4728708189468,11,1,0,0,760.3,False,2026-09-09,0,21,2026-08-29,0,none,,,0,0.0007,0.0001
